case_name,pdf_url
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365-response_of_meta_platforms_inc._f_k_a_facebook_inc._to_the_order_to_show_cause_why_the_commission_should_not_modify_the_order_and_enter_the_proposed_new_order_-_public.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365_2024.09.24_commission_order_setting_oral_argument_unsigned.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365_20240109_commission_order_unsigned.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365_20240321_commission_order_unsigned.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365_20240508_commission_order_directing_complaint_counsel_to_file_a_reply_unsigned.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365_2025.07.30_commission_order_staying_proceeding__0.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365_facebook_order_extending_time.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365_facebook_otsc_second_extension_unsigned.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365_facebook_otsc_third_extension_unsigned.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365commissionorderfurtherreply.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365facebookpreliminaryfofpublic.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365facebookproposedmodifieddecisionandorder.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/facebookotsc.december2023.pdf
Avast,https://www.ftc.gov/system/files/ftc_gov/pdf/202_3033_-_avast_final_consent_package.pdf
Avast,https://www.ftc.gov/system/files/ftc_gov/pdf/ACCO-Avast.pdf
Avast,https://www.ftc.gov/system/files/ftc_gov/pdf/APCOAPC-Avast.pdf
Avast,https://www.ftc.gov/system/files/ftc_gov/pdf/Complaint-Avast.pdf
Avast,https://www.ftc.gov/system/files/ftc_gov/pdf/D%26O-Avast.pdf
Aqua Finance,https://www.ftc.gov/system/files/ftc_gov/pdf/AquaFinance-FiledComplaint.pdf
Aqua Finance,https://www.ftc.gov/system/files/ftc_gov/pdf/AquaFinance-FiledOrder.pdf
"Cognosphere, LLC, U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/Cognosphere-Attachment3-2.pdf
"Cognosphere, LLC, U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/Cognosphere-Attachment3-3.pdf
"Cognosphere, LLC, U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/Cognosphere-Attachment3-4.pdf
"Cognosphere, LLC, U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/cognosphere_complaint.pdf
"Cognosphere, LLC, U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/cognosphere_stiporder.pdf
"Cognosphere, LLC, U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/cognospherea.pdf
"Mobilewalla, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023196mobilewallaaapc.pdf
"Mobilewalla, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023196mobilewallaacco.pdf
"Mobilewalla, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023196mobilewallacomplaint.pdf
"Mobilewalla, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023196mobilewallaorder.pdf
"Mobilewalla, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/Mobilewalla-Complaint.pdf
"Mobilewalla, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/Mobilewalla-D%26O.pdf
"Intellivision, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2323023c4809intellivisionfinalconsent.pdf
"Intellivision, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2323023c4809intellivisionfinalorder.pdf
"Intellivision, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/ACCO-IntellivisionTechCorp.pdf
"Intellivision, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/APCOAPC-IntellivisionTechCorp.pdf
"Intellivision, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/Complaint-IntellivisionTechCorp.pdf
"Intellivision, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/D%26O-IntellivisionTechCorp.pdf
"Vivint Smart Home, Inc.",https://www.ftc.gov/system/files/documents/cases/de2_complaint_against_vivint_smart_home.pdf
"Vivint Smart Home, Inc.",https://www.ftc.gov/system/files/documents/cases/de3-1_stipulated_order_for_permanent_injuction_and_civil_penalty_judgment.pdf
"Gravy Analytics, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2123035gravyanalyticsaapc.pdf
"Gravy Analytics, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2123035gravyanalyticsacco.pdf
"Gravy Analytics, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2123035gravyanalyticscomplaint.pdf
"Gravy Analytics, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2123035gravyanalyticsorder.pdf
"Gravy Analytics, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/212_3035_-_gravy_analytics_final_consent_package_without_signatures.pdf
"Marriott International, Inc. and Starwood Hotels & Resorts Worldwide, LLC, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/1923022marriottaapc.pdf
"Marriott International, Inc. and Starwood Hotels & Resorts Worldwide, LLC, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/1923022marriottacco.pdf
"Marriott International, Inc. and Starwood Hotels & Resorts Worldwide, LLC, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/1923022marriottcomplaint.pdf
"Marriott International, Inc. and Starwood Hotels & Resorts Worldwide, LLC, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/1923022marriottcomplaint_0.pdf
"Marriott International, Inc. and Starwood Hotels & Resorts Worldwide, LLC, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/1923022marriottfinalorder.pdf
"Marriott International, Inc. and Starwood Hotels & Resorts Worldwide, LLC, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/1923022marriottlettertocommenters.pdf
"1Health.io/Vitagene, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/1Health-Complaint.pdf
"1Health.io/Vitagene, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/1Health-DecisionandOrder.pdf
"1Health.io/Vitagene, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/Letter%20to%20Commenters-1Health-Vitagene.pdf
"1Health.io/Vitagene, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/complaint.pdf
"1Health.io/Vitagene, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/decision_and_order.pdf
"Verkada Inc., U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/2123068verkadacomplaint.pdf
"Verkada Inc., U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/2123068verkadajtmtnstipulatedorder.pdf
"Verkada Inc., U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/2123068verkadasignedorder.pdf
"ByteDance, LTD., US v.",https://www.ftc.gov/system/files/ftc_gov/pdf/bytedance_complaint.pdf
"Monument, Inc., U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/MonumentComplaintFiled.pdf
"Monument, Inc., U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/MonumentEnteredFinalOrder.pdf
"Monument, Inc., U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/MonumentOrderFiled.pdf
"Cerebral, Inc. and Kyle Robertson, U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/2223087cerebralcomplaint.pdf
"Cerebral, Inc. and Kyle Robertson, U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/2223087cerebralfirstamendedcmplt.pdf
"Cerebral, Inc. and Kyle Robertson, U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/cerebral_joint_stipulation_order_permanent_injunction.pdf
"Blackbaud, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/2023181_blackbaud_final_consent_package.pdf
"Blackbaud, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/Blackbaud-ACCO.pdf
"Blackbaud, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/Blackbaud-APCOAPC.pdf
"Blackbaud, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/Blackbaud-Complaint.pdf
"Blackbaud, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/Blackbaud-D%26O.pdf
"BetterHelp, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023169-betterhelp-analysis-to-aid-public-comment.pdf
"BetterHelp, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023169-betterhelp-complaint_.pdf
"BetterHelp, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023169betterhelpcomplaintfinal.pdf
"BetterHelp, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023169betterhelpfinalorder.pdf
"BetterHelp, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023169betterhelpletterstocommenters.pdf
"BetterHelp, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/202_3169-betterhelp-consent.pdf
"InMarket Media, LLC",https://www.ftc.gov/system/files/ftc_gov/pdf/ACCO-InMarketMedialLLC.pdf
"InMarket Media, LLC",https://www.ftc.gov/system/files/ftc_gov/pdf/APCOAPC-InMarketMediaLLC.pdf
"InMarket Media, LLC",https://www.ftc.gov/system/files/ftc_gov/pdf/AttachmentA-InMarketMediaLLC.pdf
"InMarket Media, LLC",https://www.ftc.gov/system/files/ftc_gov/pdf/Complaint-InMarketMediaLLC.pdf
"InMarket Media, LLC",https://www.ftc.gov/system/files/ftc_gov/pdf/D%26O-InMarketMediaLLC.pdf
"InMarket Media, LLC",https://www.ftc.gov/system/files/ftc_gov/pdf/InMarketMedia-AttachmentA-RespondentsEmailNotice.pdf
"InMarket Media, LLC",https://www.ftc.gov/system/files/ftc_gov/pdf/InMarketMedia-Complaint.pdf
"InMarket Media, LLC",https://www.ftc.gov/system/files/ftc_gov/pdf/InMarketMedia-DecisionandOrder.pdf
"Ring, LLC",https://www.ftc.gov/system/files/ftc_gov/pdf/Ring-OrderEntered-6.16.2023%28003%29.pdf
"Ring, LLC",https://www.ftc.gov/system/files/ftc_gov/pdf/complaint_ring.pdf
"Ring, LLC",https://www.ftc.gov/system/files/ftc_gov/pdf/proposed_stipulated_order_ring.pdf
"X-Mode Social, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/X-Mode-APCOAPC.pdf
"X-Mode Social, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/X-Mode-Complaint.pdf
"X-Mode Social, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/X-Mode-D%26O.pdf
"X-Mode Social, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/X-Mode-Social-ACCO.pdf
"X-Mode Social, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/X-ModeSocialComplaint.pdf
"X-Mode Social, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/X-ModeSocialDecisionandOrder.pdf
"X-Mode Social, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/X-ModeSocialLetterstoCommenters.pdf
"Rite Aid Corporation, FTC v.",https://www.ftc.gov/system/files/ftc_gov/pdf/2023190_riteaid_complaint_filed.pdf
"Rite Aid Corporation, FTC v.",https://www.ftc.gov/system/files/ftc_gov/pdf/2023190_riteaid_stipulated_order_filed.pdf
"Rite Aid Corporation, FTC v.",https://www.ftc.gov/system/files/ftc_gov/pdf/DE019-StipulatedOrderforPermanentInjunctionandOtherRelief.pdf
