case_name,url,date,case_type,matter_number,case_status,summary,tags,long_title
"30 Minute Mortgage, Inc., Gregory P. Roth, and Peter W. Stolz",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3224-30-minute-mortgage-inc-gregory-p-roth-peter-w-stolz,2003-12-09T12:00:00Z,Federal,022-3224,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"Federal Trade Commission V. 30 Minute Mortgage, Inc., Gregory P. Roth, and Peter W. Stolz"
"Guess?, Inc., and Guess.com, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3260-guess-inc-guesscom-inc-matter,2003-08-05T12:00:00Z,Administrative,022 3260,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of Guess?, Inc., and Guess.com, Inc."
"__________________, a minor, also known as _______________, by his parent ____________",https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3101-022-3209-__________________-minor-also-known-_______________-his-parent-____________,2003-07-21T12:00:00Z,Federal,032-3101,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"Federal Trade Commission, Plaintiff, V. __________________, a minor, also known as _______________, by his parent ____________, Defendant"
"Educational Research Center of America, Inc.; Student Marketing Group, Inc.; Marian Sanjana; and Jan Stumacher",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3249-educational-research-center-america-inc-student-marketing-group-inc-marian-sanjana-jan-stumacher,2003-05-09T12:00:00Z,Administrative,022 3249,,,Consumer Protection; Privacy and Security; Consumer Privacy,"In the Matter of Educational Research Center of America, Inc.; Student Marketing Group, Inc.; Marian Sanjana; and Jan Stumacher"
"Mrs. Fields Famous Brands, Inc., Mrs. Fields' Holding Company, Inc., and Mrs. Fields' Original Cookies, Inc., U.S. (for the FTC)",https://www.ftc.gov/legal-library/browse/cases-proceedings/mrs-fields-famous-brands-inc-mrs-fields-holding-company-inc-mrs-fields-original-cookies-inc-us-ftc,2003-02-27T12:00:00Z,Federal,,,,Consumer Protection; Western Region; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,"United States of America v. Mrs. Fields Famous Brands, Inc., Mrs. Fields' Holding Company, Inc., and Mrs. Fields' Original Cookies, Inc."
"Hershey Foods Corporation., U.S. (for the FTC)",https://www.ftc.gov/legal-library/browse/cases-proceedings/hershey-foods-corporation-us-ftc,2003-02-27T12:00:00Z,Federal,,,,Consumer Protection; Western Region; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,United States of America v. Hershey Foods Corporation
"National Research Center for College and University Admissions, The, Inc.; American Student List, LLC; and Don M. Munce",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3005-national-research-center-college-university-admissions-inc-american-student-list-llc-don-m-munce,2003-01-29T12:00:00Z,Administrative,022 3005,,,Consumer Protection; Privacy and Security; Consumer Privacy,"In the Matter of The National Research Center For College and University Admissions, Inc., and Don M. Munce"
"Microsoft Corporation, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3240-microsoft-corporation-matter,2002-12-24T12:00:00Z,Administrative,012 3240,,,Consumer Protection; Privacy and Security; Data Security,In the Matter of Microsoft Corporation
"FTC v. Global Mortgage Funding, Inc., et al., SACV 02-1026 DOC",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3234-022-3234-022-3235-022-3236-022-3237-022-3077-022-3302-ftc-v-global-mortgage-funding-inc-et-al-sacv-02-1026-doc,2002-11-13T12:00:00Z,,022-3234,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,
"Corporate Marketing Solutions, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3001-corporate-marketing-solutions-inc,2002-07-18T12:00:00Z,Federal,022-3001,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"FTC v. Corporate Marketing Solutions, Inc., et al."
"Eli Lilly And Company, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3214-eli-lilly-company-matter,2002-05-10T12:00:00Z,Administrative,012 3214,,,Consumer Protection; Privacy and Security; Data Security; Health Privacy,In the Matter of Eli Lilly and Company
"Ohio Art Company, The",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3028-ohio-art-company,2002-04-22T12:00:00Z,Federal,022-3028,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,United States v. The Ohio Art Company
"Garrett, Paula L. d/b/a Discreet Data Systems",https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3067-garrett-paula-l-dba-discreet-data-systems,2002-03-08T12:00:00Z,Federal,012 3067,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"FTC v. Paula L. Garrett, d/b/a Discreet Data Systems"
