case_name,url,date,case_type,matter_number,case_status,summary,tags,long_title
"Fashion Nova, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3138-fashion-nova-llc-matter,2023-05-17T12:00:00Z,Administrative,192 3138,Pending,"O nline fashion retailer Fashion Nova, LLC is prohibited from suppressing customer reviews of its products and required to pay $4.2 million to settle FTC allegations that the company blocked negative reviews of its products from being posted to its website","Consumer Protection; Bureau of Consumer Protection; Retail; Merchandise & Clothing; Clothing and Textiles; Advertising and Marketing; Endorsements, Influencers, and Reviews; Advertising and Marketing Basics; Privacy and Security","In the Matter of Fashion Nova, LLC, a limited liability company"
"GoodRx Holdings, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/2023090-goodrx-holdings-inc,2023-02-17T12:00:00Z,Federal,2023090,Pending,"The Federal Trade Commission has taken enforcement action for the first time under its Health Breach Notification Rule against the telehealth and prescription drug discount provider GoodRx Holdings Inc., for failing to notify consumers and others of its unauthorized disclosures of consumers’ personal health information to Facebook, Google, and other companies.",Consumer Protection; Bureau of Consumer Protection; Health Care; Advertising and Marketing; Online Advertising and Marketing; Privacy and Security; Consumer Privacy; Health Privacy,"GoodRx Holdings, Inc., a corporation, also d/b/a GoodRx Gold, GoodRx Care, HeyDoctor, and HeyDoctor by GoodRx"
"Epic Games, Inc., U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/2223087-epic-games-inc-us-v,2023-02-07T12:00:00Z,Federal,2223087,Pending,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Entertainment; Privacy and Security; Children's Privacy; Gaming,"United States of America, Plaintiff, v. Epic Games, Inc., a corporation, Defendant"
Chegg,https://www.ftc.gov/legal-library/browse/cases-proceedings/chegg,2023-01-26T12:00:00Z,Administrative,,Pending,"The FTC taking action against education technology provider Chegg Inc. for its lax data security practices that exposed sensitive information about millions of its customers and employees, including Social Security numbers, email addresses and passwords.",Consumer Protection; Bureau of Consumer Protection; Education; Privacy and Security; Consumer Privacy; Data Security,"In the Matter of CHEGG, INC., a corporation"
"Drizly, LLC., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/2023185-drizly-llc-matter,2023-01-10T12:00:00Z,Administrative,2023185,Pending,The Federal Trade Commission is taking action against the online alcohol marketplace Drizly and its CEO James Cory Rellas over allegations that the company’s security failures led to a data breach exposing the personal information of about 2.5 million consumers.,Consumer Protection; Bureau of Consumer Protection; Identity Theft; Alcohol; Privacy and Security; Consumer Privacy; Data Security,"In the Matter of Drizly, LLC, a Limited Liability Company, and James Cory Rellas, individually, and as an officer of Drizly, LLC."
"Twitter, Inc., U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/2023062-twitter-inc-us-v,2022-05-26T12:00:00Z,Federal,2023062,Pending,The FTC alleged that Twitter’s deceptive use of user email addresses and phone numbers violated the FTC Act and the 2011 Commission order.,Consumer Protection; Bureau of Consumer Protection; Technology; Privacy and Security; Consumer Privacy; Data Security; Privacy Shield; Data Privacy Framework,"United States of America, Plaintiff v. Twitter, Inc., a corporation, Defendant."
"Everalbum, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3172-everalbum-inc-matter,2022-05-05T12:00:00Z,Administrative,192 3172,Closed,Everalbum settled Federal Trade Commission allegations that it deceived consumers about its use of facial recognition technology and its retention of photos and videos of users who deactivated their accounts.,Consumer Protection; Bureau of Consumer Protection; deceptive/misleading conduct; Technology; Mobile; Privacy and Security; Consumer Privacy; Tech; Artificial Intelligence,
"Credit Bureau Center, LLC (formerly known as MyScore LLC)",https://www.ftc.gov/legal-library/browse/cases-proceedings/162-3120-x170014-credit-bureau-center-llc-formerly-known-myscore-llc,2022-04-04T12:00:00Z,Federal,162 3120,,"A federal judge has ordered Credit Bureau Center, LLC and its owner, Michael Brown, to pay more than $5.2 million to return to consumers, to resolve FTC charges that they deceived people with fake rental property ads and deceptive promises of “free” credit reports, and then tricked them into enrolling into a costly monthly credit monitoring service.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Credit Reporting,"Federal Trade Commission, Plaintiff, v. Credit Bureau Center, LLC, a limited liability company, formerly known as MyScore LLC, also doing business as eFreeScore.com, CreditUpdates.com, and FreeCreditNation.com; Michael Brown; Danny Pierce; and Andrew Lloyd, Defendants."
Weight Watchers/WW,https://www.ftc.gov/legal-library/browse/cases-proceedings/1923228-weight-watchersww,2022-03-04T12:00:00Z,Federal,1923228,Pending,"The FTC reached a settlement with WW International, Inc., formerly known as Weight Watchers, and a subsidiary called Kurbo, Inc., over allegations they marketed a weight loss app for use by children as young as eight and then collected their personal information without parental permission.",Consumer Protection; Weight Loss; Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy,
ITMedia Solutions LLC,https://www.ftc.gov/legal-library/browse/cases-proceedings/1523225-itmedia-solutions-llc,2022-01-06T12:00:00Z,Process Enforcement,1523225,Closed,"A lead generation company that collected sensitive information from millions of consumers under the guise of connecting them with lenders will pay $1.5 million in civil penalties and face restrictions on their operations as a result of a Federal Trade Commission lawsuit. The FTC’s complaint alleges that since at least 2012, ITMedia Solutions LLC, a number of affiliate companies, and their owners and officers have operated hundreds of websites that were designed to entice consumers into sharing their most sensitive financial information—including their Social Security numbers and bank account information. The defendants sold that information to marketing companies and others without regard for how the information would be used, according to the complaint.",Consumer Protection; Office of the General Counsel; Bureau of Consumer Protection; Credit & Loan Offers; Debt Relief; deceptive/misleading conduct; Credit and Finance; Credit and Loans; Privacy and Security; Consumer Privacy,Federal Trade Commission v. ITMedia Solutions LLC et al.
"Ascension Data & Analytics, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3126-ascension-data-analytics-llc-matter,2021-12-22T12:00:00Z,Administrative,192 3126,Pending,Ascension will be required to implement a comprehensive data security program as part of a settlement resolving FTC allegations that the firm failed to ensure one of its vendors was adequately securing personal data about tens of thousands of mortgage holders.,Consumer Protection; Bureau of Consumer Protection; Technology; Software and Databases; Real Estate and Mortgages; Privacy and Security; Data Security; Gramm-Leach-Bliley Act,"In the Matter of Ascension Data & Analytics, LLC, a limited liability company."
"MyLife.com, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3022-mylifecom-inc,2021-12-16T12:00:00Z,Federal,182 3022,Pending,"The Department of Justice on behalf of the Federal Trade Commission sued MyLife.com, Inc. and its CEO Jeffrey Tinsley over allegations they deceived consumers with “teaser background reports” that often falsely claimed to include information about arrest, criminal, and sex offender records, and also engaged in misleading billing and marketing practices.",Consumer Protection; Bureau of Consumer Protection; deceptive/misleading conduct; Fair Credit Reporting Act (FCRA); Technology; Software and Databases; Advertising and Marketing; Online Advertising and Marketing; Privacy and Security; Credit Reporting,"United States of America (for the Federal Trade Commission), Plaintiff, v. MyLife.com, Inc., a corporation, and Jeffrey Tinsley, individually and as an officer of MyLife.com, Inc., Defendants."
"OpenX Technologies, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/1923019-openx-technologies-inc,2021-12-15T12:00:00Z,Federal,1923019,Pending,"Under an order with the FTC, OpenX Technologies, Inc. will be required to pay $2 million over allegations that the company collected personal information from children under 13 without parental consent. The FTC also alleged that the company collected geolocation information from users who specifically asked not to be tracked.",Consumer Protection; Privacy and Security; Children's Privacy; Consumer Privacy,"United States of America, Plaintiff, v. OpenX Technologies, Inc., a Delaware Corporation, Defendant."
"Kuuhuub, Inc., et al., U.S. v. (Recolor Oy)",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3184-kuuhuub-inc-et-al-us-v-recolor-oy,2021-07-22T12:00:00Z,Federal,182 3184,Pending,"Kuuhuub Inc., Kuu Hubb Oy and Recolor Oy settled FTC allegations that they violated a children’s privacy law by collecting and disclosing personal information about children who used the app without notifying their parents and obtaining their consent.",Consumer Protection; Bureau of Consumer Protection; Western Region San Francisco; Children's Online Privacy Protection Act (COPPA); Technology; Mobile; Advertising and Marketing; Online Advertising and Marketing; Privacy and Security; Children's Privacy,"United States of America, Plaintiff, v. Kuuhuub, a corporation, Kuu Hubb Oy, a corporation, and Recolor Oy, a corporation"
"Flo Health, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3133-flo-health-inc,2021-06-22T12:00:00Z,Administrative,192 3133,Closed,Flo Health has settled Federal Trade Commission allegations that the company shared health information of its users with outside data analytics providers after promising such information would be kept private.,Consumer Protection; Bureau of Consumer Protection; Health Care; Mobile; Privacy and Security; Consumer Privacy; Tech; Privacy Shield; Health Privacy; Data Privacy Framework,"In the Matter of Flo Health, Inc., a corporation"
"SkyMed International, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/1923140-skymed-international-inc-matter,2021-02-05T12:00:00Z,Administrative,1923140,,SkyMed must put in place a comprehensive information security program as part of a settlement with the FTC over allegations the company failed to take reasonable steps to secure sensitive consumer information such as health records.,Consumer Protection; Bureau of Consumer Protection; Health Care; Privacy and Security; Data Security; Health Privacy,
"Zoom Video Communications, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3167-zoom-video-communications-inc-matter,2021-02-01T12:00:00Z,Administrative,192 3167,Pending,"Zoom Video Communications, Inc. will be required to implement a robust information security program to settle FTC allegations that the video conferencing provider engaged in a series of deceptive and unfair practices that undermined the security of its users.",Consumer Protection; Bureau of Consumer Protection; deceptive/misleading conduct; Privacy and Security; Consumer Privacy; Data Security; Tech,"In the Matter of Zoom Video Communications, Inc., a corporation, d/b/a Zoom"
"AppFolio, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/1923016-appfolio-inc,2020-12-08T12:00:00Z,Federal,1923016,,AppFolio will pay $4.25 million as part of a settlement with the FTC over allegations the firm failed to follow reasonable procedures to ensure the accuracy of its reports about potential tenants.,Consumer Protection; Bureau of Consumer Protection; housing; Privacy and Security; Credit Reporting,
"Midwest Recovery Systems, LLC",https://www.ftc.gov/legal-library/browse/cases-proceedings/1923042-midwest-recovery-systems-llc,2020-11-30T12:00:00Z,Federal,1923042,,"The Federal Trade Commission has taken action against a debt collection company that allegedly placed bogus or highly questionable debts onto consumers’ credit reports to coerce them to pay the debts. Under a settlement with the FTC, the company, Midwest Recovery Systems (Midwest Recovery), is prohibited from the practice, known as “debt parking,” and required to delete the debts it previously reported to credit reporting agencies. The FTC alleged that Midwest Recovery collected more than $24 million from consumers on such debts, largely by debt parking.",Consumer Protection; Credit and Finance; Debt Collection; Privacy and Security; Credit Reporting,
"NTT Global Data Centers Americas, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3189-ntt-global-data-centers-americas-inc-matter,2020-10-28T12:00:00Z,Administrative,182 3189,Closed,"The FTC sued RagingWire Data Centers, Inc. over allegations that the company misled consumers about its participation in the EU-U.S. Privacy Shield framework and failed to adhere to the program’s requirements before allowing its certification to lapse.  A proposed consent agreement that would settle those allegations was announced on June 30, 2020.",Consumer Protection; Bureau of Consumer Protection; international cooperation; Online Advertising and Marketing; Privacy and Security; Consumer Privacy; Data Security; Privacy Shield; Data Privacy Framework,"In the Matter of NTT Global Data Centers Americas, Inc., a corporation, as successor in interest to RagingWire Data Centers, Inc., a corporation."
Emp Media Inc. (MyEx.com),https://www.ftc.gov/legal-library/browse/cases-proceedings/162-3052-emp-media-inc-myexcom,2020-09-23T12:00:00Z,Federal,162 3052,,,Consumer Protection; Bureau of Consumer Protection; Technology; Privacy and Security; Consumer Privacy,"Federal Trade Commission and State of Nevada, Plaintiffs v. Emp Media Inc. (also doing business as MyEx.com, Post My Ad, T&A Media, or Internet Secrets), a Nevada corporation; Aniello “Neil” Infante, individually and as an officer of Emp Media Inc.; Shad “John” Applegate, also known as Shad Cotelli, individually and as an officer of Emp Media Inc.; and One or More Unknown Parties Doing Business as Yeicox Ltd., Defendants."
"Ortho-Clinical Diagnostics, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3050-ortho-clinical-diagnostics-inc-matter,2020-07-13T12:00:00Z,Administrative,192 3050,Pending,"Ortho-Clinical Diagnostics, Inc., settled Federal Trade Commission allegations that the company misled consumers about its participation in the EU-U.S. Privacy Shield framework.",Consumer Protection; Privacy and Security; Privacy Shield; Data Privacy Framework,"Ortho-Clinical Diagnostics, Inc., a corporation."
"Miniclip, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3129-miniclip-matter,2020-07-06T12:00:00Z,Administrative,192 3129,Pending,"In May 2020, the Commission accepted for public comment a proposed consent agreement to resolve allegations that Miniclip S.A. violated Section 5 of the FTC Act by misrepresenting its status in a Children’s Online Privacy Protection Act (“COPPA”) safe harbor program.",Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); deceptive/misleading conduct; Technology; Entertainment; Mobile; Privacy and Security; Children's Privacy,"In the Matter of Miniclip S.A., a corporation."
"Kohl's Department Stores, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3200-kohls-department-stores-inc,2020-06-10T12:00:00Z,Federal,182 3200,Pending,"Kohl’s Department Stores, Inc. agreed to pay a civil penalty of $220,000 to settle Federal Trade Commission allegations that the retailer violated the Fair Credit Reporting Act by refusing to provide complete records of transactions to consumers whose personal information was used by identity thieves.",Consumer Protection; Bureau of Consumer Protection; Credit & Loan Offers; Identity Theft; Fair Credit Reporting Act (FCRA); Privacy and Security; Credit Reporting,"United States of America (For the Federal Trade Commission), Plaintiff, v. Kohl's Department Stores, Inc., a corporation, Defendant."
"HyperBeard, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3109-hyperbeard-inc,2020-06-04T12:00:00Z,Federal,192 3109,Pending,"HyperBeard, a developer of apps that are popular with children has agreed to pay $150,000 and to delete personal information it illegally collected from children under 13 to settle Federal Trade Commission allegations. In a complaint filed by the Department of Justice on behalf of the FTC, the Commission alleges that HyperBeard, Inc. violated the Children’s Online Privacy Protection Act Rule (COPPA Rule) by allowing third-party ad networks to collect personal information in the form of persistent identifiers to track users of the company’s child-directed apps, without notifying parents or obtaining verifiable parental consent. The ad networks used the identifiers to target ads to children using HyperBeard’s apps.",Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Mobile; Privacy and Security; Children's Privacy,"United States of America, on behalf of the Federal Trade Commission, Plaintiff, v. HyperBeard, Inc., a corporation; and Alexander Kozachenko and Antonio Uribe, individually and as officers of HyperBeard, Inc.; Defendants."
"Tapplock, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3011-tapplock-inc-matter,2020-05-20T12:00:00Z,Administrative,192 3011,Pending,Tapplock settled FTC allegations that it deceived consumers by falsely claiming that its Internet-connected smart locks were designed to be “unbreakable” and that it took reasonable steps to secure the data it collected from users.,Consumer Protection; Bureau of Consumer Protection; deceptive/misleading conduct; Internet of Things; Technology; Privacy and Security; Data Security,"In the Matter of Tapplock, Inc., a corporation"
Jasjit Gotra (Alliance Security),https://www.ftc.gov/legal-library/browse/cases-proceedings/x140022-jasjit-gotra-alliance-security,2020-05-18T12:00:00Z,Federal,X140022,,"In March 2018, the FTC filed a complaint and motion for preliminary injunction alleging that Alliance Security Inc., a home security installation company, and its founder, directly and through its authorized telemarketers, called millions of consumers whose numbers are on the National Do Not Call (DNC) Registry. At the same time, two of Alliance’s authorized telemarketers and their principals agreed to settle charges that they made illegal calls on Alliance’s behalf. In August 2019, the court issued two orders against the remaining defendants in the case. The first permanently bars Alliance from telemarketing and obtaining or using consumer credit reports without written authorization. The second, a preliminary injunction, imposes the same ban on the company’s CEO and founder Jasjit “Jay” Gotra. In May 2020, the FTC announced that Gotra had settled the case against him under a court order barring him from nearly all outbound telemarketing.",Consumer Protection; Do Not Call; Privacy and Security; Credit Reporting,"Federal Trade Commission, Plaintiff, v. Jasjit Gotra, individually and as an officer or owner of Alliance Security, Inc., formerly known as Versatile Marketing Solutions, Inc., VMS Alarms, VMS, Alliance Security, Alliance Home Protection, and AH Protection; Alliance Security Inc., a Massachusetts corporation formerly known as Versatile Marketing Solutions, Inc., VMS Alarms, VMS Alliance Security, and Alliance Home Protection; Jessica Merrick, also known as Jessica Bright also known as Jessica Dudlicek, individually and as an officer of Defend America LLC; Defend America LLC, a Florida Limited Liability Company; Kevin Klink, individually and as an officer or owner of Power Marketing Promotions LLC, and Power Marketing Promotions LLC, A North Carolina Limited Liability Company, also doing business as J Tele Alarms, Defendants."
"Retina-X Studios, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3118-retina-x-studios-llc-matter,2020-03-27T12:00:00Z,Administrative,172 3118,Pending,"Retina-X Studios, LLC, reached a settlement with the Federal Trade Commission over allegations that the company and its owner failed to secure the data collected by its “stalking” apps and ensure the apps were used for legitimate purposes.",Consumer Protection; Bureau of Consumer Protection; Software and Databases; Mobile; Privacy and Security; Children's Privacy; Consumer Privacy,"In the Matter of Retina-X Studios, LLC, a limited liability company; and James N. Johns, Jr., individually and as sole member of Retina-X Studios, LLC."
"T&M Protection Resources, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3092-tm-protection-resources-llc-matter,2020-03-23T12:00:00Z,Administrative,192 3092,Pending,"T&M Protection Resources, LLC, settled Federal Trade Commission allegations that the company misrepresented its participation in and compliance with the EU-U.S. Privacy Shield framework.",Consumer Protection; Bureau of Consumer Protection; Advertising and Marketing; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of T&M Protection Resources, LLC, a Delaware limited liability corporation."
BoostMyScore LLC,https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3059-boostmyscore-llc,2020-03-09T12:00:00Z,Federal,192 3059,Pending,,Consumer Protection; Bureau of Consumer Protection; Credit & Loan Offers; Debt Relief; Credit and Finance; Credit and Loans; Privacy and Security; Credit Reporting,"Federal Trade Commission, Plaintiff v. BoostMyScore LLC, f/k/a Boost My Score dot Net, LLC, and also d/b/a BoostMyScore.net; BMS, Inc., also d/b/a BoostMyScore.net; and William O. Airy, individually and as an officer of BoostMyScore LLC and BMS, Inc., Defendants."
"Office Depot, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3023-office-depot-inc,2020-02-20T12:00:00Z,Federal,172 3023,,"Office Depot, Inc. and its tech support software provider Support.com, Inc., settled Federal Trade Commission allegations that the two companies tricked customers into buying millions of dollars' worth of computer repair and technical services by deceptively claiming their software had found malware on the customers' computers.",Consumer Protection; Bureau of Consumer Protection; deceptive/misleading conduct; Technology; Privacy and Security; Data Security,"Federal Trade Commission, Plaintiff, v. Office Depot, Inc., a corporation, and Support.com, Inc., a corporation, Defendants."
"Click Labs, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3090-click-labs-inc-matter,2020-01-29T12:00:00Z,Administrative,192 3090,Pending,"Click Labs, Inc. settled Federal Trade Commission allegations that the company made false claims in connection with the EU-U.S. Privacy Shield framework.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of Click Labs, Inc., a corporation."
"Global Data Vault, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3093-global-data-vault-llc-matter,2020-01-29T12:00:00Z,Administrative,192 3093,Pending,"Global Data Vault, LLC, settled Federal Trade Commission allegations that the company made false claims in connection with the EU-U.S. Privacy Shield framework.",Consumer Protection; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of Global Data Vault, LLC, a limited liability corporation."
"Incentive Services, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3078-incentive-services-inc-matter,2020-01-29T12:00:00Z,Administrative,192 3078,Pending,"Incentive Services, Inc., settled Federal Trade Commission allegations that the company made false claims in connection with the EU-U.S. Privacy Shield framework, which enables companies to transfer consumer data legally from European Union countries to the United States.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of Incentive Services, Inc., a corporation."
"TDARX, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3084-tdarx-inc-matter,2020-01-29T12:00:00Z,Administrative,192 3084,Pending,"TDARX, Inc., settled Federal Trade Commission allegations that the company made false claims in connection with the EU-U.S. Privacy Shield framework.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of TDARX, Inc., a corporation."
"DCR Workforce, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3188-dcr-workforce-inc-matter,2020-01-16T12:00:00Z,Administrative,182 3188,Pending,"DCR Workforce, Inc. reached a settlement with the FTC over allegations that the company made false or misleading representations about its participation in the EU-U.S. Privacy Shield framework.",Consumer Protection; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of DCR Workforce, Inc., a corporation"
"LotaData, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3194-lotadata-inc-matter,2020-01-16T12:00:00Z,Administrative,182 3194,Pending,LotaData settled Federal Trade Commission allegations that the company falsely claimed certification under the EU-U.S. Privacy Shield framework.,Consumer Protection; Bureau of Consumer Protection; Technology; Mobile; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of LotaData, Inc., a corporation"
"EmpiriStat, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3195-empiristat-matter,2020-01-16T12:00:00Z,Administrative,182 3195,Pending,EmpiriStat settled Federal Trade Commission allegations that the company falsely claimed certification under the EU-U.S. Privacy Shield framework.,Consumer Protection; Bureau of Consumer Protection; Technology; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of EmpiriStat, Inc., a corporation"
"Trueface.ai, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3193-truefaceai-matter,2020-01-16T12:00:00Z,Administrative,182 3193,Closed,Trueface.ai settled Federal Trade Commission allegations that the company falsely claimed certification under the EU-U.S. Privacy Shield framework.,Consumer Protection; Bureau of Consumer Protection; Technology; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of 214 Technologies, Inc., a corporation also doing business as Trueface.ai"
"Thru, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3196-thru-inc-matter,2020-01-16T12:00:00Z,Administrative,182 3196,Pending,"Thru, Inc. reached a settlement with the FTC over allegations that the company made false and misleading representations about its participation in the EU-U.S. and Swiss-U.S. Privacy Shield frameworks.",Consumer Protection; Privacy and Security; Privacy Shield; Data Privacy Framework,"In the Matter of Thru, Inc., a corporation"
"Mortgage Solutions FCS, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3199-mortgage-solutions-fcs-inc,2020-01-10T12:00:00Z,Federal,182 3199,Pending,"Mortgage Solutions FCS, doing business as Mount Diablo Lending, and Ramon Walker agreed to pay $120,000 to settle Federal Trade Commission allegations that it violated the Fair Credit Reporting Act and other laws by revealing personal information about consumers in response to negative reviews posted on the review website Yelp.","Consumer Protection; Bureau of Consumer Protection; Mortgages; Advertising and Marketing; Endorsements, Influencers, and Reviews; Privacy and Security; Consumer Privacy; Credit Reporting; Gramm-Leach-Bliley Act","United States of America, on behalf of the Federal Trade Commission, Plaintiff, v. Mortgage Solutions FCS, a corporation, also doing business as Mount Diablo Lending; and Ramon Walker, Defendants."
"Medable, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3192-medable-inc-matter,2020-01-09T12:00:00Z,Administrative,182 3192,Pending,"Medable settled Federal Trade Commission allegations that it falsely claimed participation in the EU-U.S. Privacy Shield framework, which enables companies to transfer consumer data legally from European Union countries to the United States.",Consumer Protection; Bureau of Consumer Protection; Technology; Privacy and Security; U.S.-EU Safe Harbor Framework; Data Privacy Framework,"In the Matter of Medable, Inc., a corporation."
"InfoTrax Systems, L.C.",https://www.ftc.gov/legal-library/browse/cases-proceedings/162-3130-infotrax-systems-lc,2020-01-06T12:00:00Z,Administrative,162 3130,Pending,"InfoTrax, L.C. settled Federal Trade Commission allegations that the company failed to put in place reasonable security safeguards, allowing a hacker to access the personal information of more than a million consumers.",Consumer Protection; Bureau of Consumer Protection; Technology; Software and Databases; Privacy and Security; Data Security,"In the Matter of InfoTrax Systems, L.C., a limited liability company, and Mark Rawlins."
"Cambridge Analytica, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3107-cambridge-analytica-llc-matter,2019-12-18T12:00:00Z,Administrative,182 3107,Closed,"The Federal Trade Commission filed an administrative complaint against data analytics company Cambridge Analytica, and filed settlements for public comment with Cambridge Analytica’s former chief executive and an app developer who worked with the company, alleging they employed deceptive tactics to harvest personal information from tens of millions of Facebook users for voter profiling and targeting.",Consumer Protection; Privacy and Security; Consumer Privacy,In the Matter of Cambridge Analytica LLC
"Aleksandr Kogan and Alexander Nix, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3106-182-3107-aleksandr-kogan-alexander-nix-matter,2019-12-18T12:00:00Z,Administrative,182 3106,,"Former Cambridge Analytica, LLC CEO Alexander Nix and Aleksandr Kogan, an app developer who worked with the company, settled Federal Trade Commission allegations that they used deceptive tactics to collect personal information from tens of millions of Facebook users for voter profiling and targeting.",Consumer Protection; Privacy and Security; Consumer Privacy,In the Matter of Aleksandr Kogan and Alexander Nix
"Unrollme Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3139-unrollme-inc-matter,2019-12-17T12:00:00Z,Administrative,172 3139,,Unrollme Inc. reached a settlement with the FTC over allegations that the company deceived some consumers about how it accesses and uses their personal emails.,Consumer Protection; Bureau of Consumer Protection; Advertising and Marketing; Online Advertising and Marketing; Privacy and Security; Consumer Privacy,"In the Matter of Unrollme Inc., a corporation"
"LifeLock, Inc., a corporation",https://www.ftc.gov/legal-library/browse/cases-proceedings/072-3069-x100023-lifelock-inc-corporation,2019-10-08T12:00:00Z,Federal,072 3069,,LifeLock paid $100 million to settle Federal Trade Commission contempt charges that it violated the terms of a 2010 federal court order that requires the company to secure consumers' personal information and prohibits the company from deceptive advertising.,Consumer Protection; Office of Technology Research and Investigation (OTech); Privacy and Security; Data Security,"Federal Trade Commission, Plaintiff, v. LifeLock, Inc., a corporation; Robert J. Maynard, Jr., individually and as an officer of LifeLock, Inc.; and Richard Todd Davis, individually and as an officer of LifeLock, Inc., Defendants"
"Google LLC and YouTube, LLC",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3083-google-llc-youtube-llc,2019-09-10T12:00:00Z,Federal,172 3083,Pending,"Google LLC and its subsidiary YouTube, LLC agreed to pay a $170 million civil penalty to the Federal Trade Commission and the New York Attorney General to settle allegations that the YouTube video sharing service illegally collected personal information from children without their parents’ consent in violation of the Children’s Online Privacy Protection Act Rule (COPPA).",Consumer Protection; Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy,"United States of America (on behalf of the Federal Trade Commission); and People of the State of New York, by Letitia James, Attorney General of the State of New York; Plaintiffs, v. Google LLC, a Delaware limited liability company; and YouTube, LLC, a Delaware limited liability company; Defendants."
"LightYear Dealer Technologies, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/172-3051-lightyear-dealer-technologies-llc-matter,2019-09-06T12:00:00Z,Administrative,172 3051,,"LightYear Dealer Technologies, LLC settled Federal Trade Commission allegations that the auto dealer software provider failed to take reasonable steps to secure consumers' data, leading to a breach that exposed the personal information of millions of consumers.",Consumer Protection; Bureau of Consumer Protection; Automobiles; Privacy and Security; Consumer Privacy; Data Security; Gramm-Leach-Bliley Act,"In the Matter of LightYear Dealer Technologies, LLC, a Missouri limited liability company, doing business as, DealerBuilt."
